"StandardCode","Version","StandardName","StandardSectorCode","NotionalEndLevel","EffectiveFrom","LastDateStarts","EffectiveTo","URLLink","SectorSubjectAreaTier1","SectorSubjectAreaTier2","IntegratedDegreeStandard","OtherBodyApprovalRequired","Created_On","Created_By","Modified_On","Modified_By"
"149","1","Advanced Dairy Technologist","5","5","01 Aug 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-advanced-dairy-technologist-approved-for-delivery","4.00","4.30","N","","02 Nov 2016","robinsonsar","02 Nov 2016","robinsonsar"
"150","1","Healthcare Science Associate","46","4","01 Aug 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-science-associate","1.00","1.30","N","","02 Nov 2016","robinsonsar","02 Nov 2016","robinsonsar"
"151","1","Senior Healthcare Support Worker","46","3","01 Aug 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-senior-healthcare-support-worker","1.00","1.30","N","","02 Nov 2016","robinsonsar","02 Nov 2016","robinsonsar"
"152","1","Advanced Butcher","23","3","01 Aug 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-advanced-butcher","7.00","7.40","N","","05 Nov 2016","robinsonsar","05 Nov 2016","robinsonsar"
"153","1","Financial Adviser","9","4","01 Nov 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-financial-adviser-approved-for-delivery","15.00","15.10","N","","06 Dec 2016","robinsonsar","13 Dec 2016","robinsonsar"
"154","1","Software Development Technician","7","3","01 Nov 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-software-development-technician","6.00","6.10","N","","14 Dec 2016","robinsonsar","14 Dec 2016","robinsonsar"
"155","1","Unified Communications Technician","7","3","01 Nov 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-unified-communications-technician","6.00","6.10","N","","14 Dec 2016","robinsonsar","14 Dec 2016","robinsonsar"
"156","1","Associate Ambulance Practitioner","62","4","01 Aug 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-associate-ambulance-practitioner","1.00","1.30","N","","21 Dec 2016","guinivas","21 Dec 2016","guinivas"
"157","1","Hair Professional","63","2","01 Nov 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-hair-professional","7.00","7.30","N","","21 Dec 2016","fisherk","21 Dec 2016","fisherk"
"158","1","Spectacle Maker","64","3","01 Nov 2016","","","https://www.gov.uk/government/publications/apprenticeship-standard-spectacle-maker","1.00","1.30","N","","21 Dec 2016","fisherk","21 Dec 2016","fisherk"
"159","1","Event Assistant","61","3","01 Jan 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-event-assistant","9.00","9.20","N","","18 Jan 2017","robinsonsar","18 Jan 2017","robinsonsar"
"160","1","Composites Technician","65","3","01 Feb 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-composites-technician","4.00","4.20","N","","13 Feb 2017","robinsonsar","13 Feb 2017","robinsonsar"
"161","1","Power Engineer (degree)","8","7","01 Feb 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-power-engineer-degree-apprenticeship","4.00","4.10","Y","N","15 Feb 2017","robinsonsar","11 Jul 2018","KTEMPERLEY"
"162","1","Facilities Management Supervisor","66","3","01 Feb 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-facilities-management-supervisor","7.00","7.30","N","","24 Feb 2017","robinsonsar","24 Feb 2017","robinsonsar"
"163","1","Nuclear Technician","15","5","01 Mar 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-technician-approved-for-delivery","4.00","4.20","N","","07 Apr 2017","robinsonsar","07 Apr 2017","robinsonsar"
"164","1","Building Services Engineering Installer","67","2","01 Mar 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-building-services-engineering-installer","5.00","5.20","N","","07 Apr 2017","robinsonsar","07 Apr 2017","robinsonsar"
"165","1","IS Business Analyst","7","4","01 Apr 2017","","","https://www.gov.uk/government/publications/apprenticeship-standard-is-business-analyst-approved-for-delivery","6.00","6.10","N","","07 Apr 2017","robinsonsar","07 Apr 2017","robinsonsar"
